1.100	0.879
1.100	0.561
1.100	0.877
1.100	0.871
1.100	0.916
1.100	0.999
1.100	0.889
1.100	0.642
1.100	0.902
1.100	0.604
1.100	0.890
1.100	0.977
1.100	0.889
1.100	0.590
1.100	0.891
2.100	0.451
2.100	1.000
2.100	0.919
2.100	0.864
2.100	0.531
2.100	0.872
2.100	0.582
2.100	0.518
2.100	0.509
2.100	0.924
2.100	0.921
2.100	0.516
2.100	0.906
2.100	0.510
2.100	0.516
2.100	0.541
2.100	0.564
2.100	0.897
2.100	0.905
2.100	0.529
2.100	0.531
2.100	0.589
2.100	0.587
2.100	0.844
2.100	0.909
2.100	0.909
2.100	0.919
2.100	0.571
2.100	0.564
2.100	0.495
2.100	0.549
2.100	0.557
2.100	0.876
2.100	0.485
2.100	0.854
2.100	0.880
2.100	0.895
2.100	0.917
2.100	0.900
2.100	0.901
2.100	0.920
2.100	0.920
2.100	0.866
2.100	0.538
2.100	0.912
2.100	0.466
2.100	0.502
2.100	0.502
2.100	0.593
2.100	0.849
2.100	0.494
2.100	0.900
2.100	0.573
2.100	0.854
2.100	0.443
2.100	0.893
2.100	0.531
2.100	0.592
2.100	0.861
2.100	0.899
2.100	0.856
2.100	0.896
2.100	0.888
2.100	0.883
2.100	0.916
2.100	0.842
2.100	0.891
2.100	0.847
2.100	0.893
2.100	0.562
2.100	0.515
2.100	0.588
2.100	0.837
2.100	0.891
2.100	0.904
2.100	0.882
2.100	0.878
2.100	0.861
2.100	0.522
2.100	0.482
2.100	0.879
2.100	0.471
2.100	0.539
2.100	0.885
2.100	0.936
2.100	0.904
2.100	0.593
2.100	0.899
2.100	0.566
2.100	0.473
2.100	0.502
2.100	0.448
2.100	0.563
2.100	0.483
2.100	0.566
2.100	0.497
2.100	0.534
2.100	0.496
2.100	0.520
2.100	0.502
3.100	0.007
3.100	0.970
3.100	0.041
3.100	0.008
3.100	0.036
3.100	0.972
3.100	0.972
3.100	0.036
3.100	0.005
3.100	0.970
3.100	0.974
3.100	0.003
3.100	0.045
3.100	0.005
3.100	0.001
3.100	0.039
3.100	0.992
3.100	0.005
3.100	0.970
3.100	0.045
3.100	0.046
3.100	0.999
3.100	0.001
3.100	0.973
3.100	0.001
3.100	0.033
3.100	0.010
3.100	0.021
3.100	0.047
3.100	0.003
3.100	0.974
3.100	0.976
3.100	0.977
3.100	0.972
3.100	0.014
3.100	0.976
3.100	0.040
3.100	0.998
3.100	0.035
3.100	0.970
3.100	0.041
3.100	0.014
3.100	0.000
3.100	0.975
3.100	0.989
3.100	0.974
3.100	0.975
3.100	0.008
3.100	0.996
3.100	0.006
3.100	0.008
3.100	0.970
3.100	0.005
3.100	0.004
3.100	0.051
3.100	0.031
3.100	0.002
3.100	0.987
3.100	0.019
3.100	0.999
3.100	0.971
3.100	0.975
3.100	0.007
3.100	0.997
3.100	0.988
3.100	0.973
3.100	0.984
3.100	0.005
3.100	0.009
3.100	0.988
3.100	0.031
3.100	0.004
3.100	0.971
3.100	0.045
3.100	0.023
