SCAN	FA	MD	L1	RD	DIAM	DENS
t1	8.35E-01	5.74E-01	1.33E+00	1.96E-01	1.19E+01	3.55E-02
t1	7.83E-01	5.96E-01	1.30E+00	2.46E-01	1.22E+01	3.31E-02
t1	6.50E-01	6.82E-01	1.28E+00	3.82E-01	1.30E+01	2.93E-02
t1	5.49E-01	6.61E-01	1.12E+00	4.29E-01	1.27E+01	3.07E-02
t1	3.59E-01	7.64E-01	1.09E+00	6.04E-01	1.51E+01	2.11E-02
t1	4.49E-01	8.62E-01	1.32E+00	6.30E-01	1.14E+01	3.38E-02
t1	6.09E-01	7.91E-01	1.43E+00	4.74E-01	1.09E+01	3.86E-02
t1	7.41E-01	7.00E-01	1.45E+00	3.26E-01	1.07E+01	3.88E-02
t1	8.09E-01	6.47E-01	1.45E+00	2.45E-01	1.10E+01	3.65E-02
t1	7.68E-01	7.26E-01	1.55E+00	3.13E-01	1.16E+01	3.49E-02
t1	7.37E-01	7.65E-01	1.58E+00	3.57E-01	1.20E+01	3.29E-02
t1	7.26E-01	7.38E-01	1.50E+00	3.54E-01	1.27E+01	2.91E-02
t1	6.96E-01	7.13E-01	1.41E+00	3.65E-01	1.25E+01	2.93E-02
t1	6.14E-01	7.67E-01	1.39E+00	4.54E-01	1.32E+01	2.46E-02
t1	7.02E-01	8.15E-01	1.62E+00	4.15E-01	1.17E+01	3.11E-02
t1	8.14E-01	6.56E-01	1.48E+00	2.45E-01	1.11E+01	3.88E-02
t1	8.11E-01	6.67E-01	1.50E+00	2.52E-01	1.12E+01	3.50E-02
t1	8.47E-01	6.20E-01	1.46E+00	2.01E-01	1.16E+01	3.56E-02
t1	8.16E-01	6.57E-01	1.49E+00	2.43E-01	1.14E+01	3.71E-02
t1	7.62E-01	7.18E-01	1.52E+00	3.15E-01	1.16E+01	3.54E-02
t1	7.85E-01	6.60E-01	1.44E+00	2.71E-01	1.21E+01	3.40E-02
t1	7.95E-01	6.22E-01	1.37E+00	2.47E-01	1.23E+01	3.33E-02
t1	7.36E-01	6.51E-01	1.34E+00	3.06E-01	1.24E+01	3.21E-02
t1	6.59E-01	6.48E-01	1.23E+00	3.57E-01	1.23E+01	3.28E-02
t1	5.37E-01	6.45E-01	1.08E+00	4.26E-01	1.33E+01	2.80E-02
t1	3.14E-01	8.34E-01	1.13E+00	6.84E-01	1.52E+01	2.00E-02
t1	3.63E-01	8.81E-01	1.24E+00	7.01E-01	1.23E+01	2.82E-02
t1	5.51E-01	7.60E-01	1.29E+00	4.96E-01	1.17E+01	3.29E-02
t1	7.13E-01	6.64E-01	1.33E+00	3.30E-01	1.10E+01	3.75E-02
t1	7.59E-01	6.72E-01	1.42E+00	2.97E-01	1.14E+01	3.53E-02
t1	7.31E-01	7.59E-01	1.56E+00	3.60E-01	1.17E+01	3.37E-02
t1	7.51E-01	7.39E-01	1.55E+00	3.33E-01	1.15E+01	3.61E-02
